Año	Mes	Nro. Edicto	Proceso	Expediente	Sentencia	Fecha Radicación	Fecha Decisión	Fijación Edicto	Acumulada
2016	Julio	95	D	11168	C-338/16	26/11/2015	29/06/2016	08/07/2016	
2016	Julio	96	D	11077	C-328/16	09/10/2015	22/06/2016	08/07/2016	
2016	Julio	97	D	10901	C-232/16	13/07/2015	11/05/2016	13/07/2016	
2016	Julio	98	D	10935	C-298/16	05/08/2015	08/06/2016	13/07/2016	
2016	Julio	99	D	11106	C-330/16	28/10/2015	23/06/2016	14/07/2016	
2016	Julio	100	D	11152	C-361/16	19/11/2015	07/07/2016	21/07/2016	
2016	Agosto	101	D	11110	C-337/16	30/10/2015	29/06/2016	01/08/2016	
2016	Agosto	102	D	11116	C-336/16	03/11/2015	29/06/2016	01/08/2016	
2016	Agosto	103	D	11153	C-358/16	23/11/2015	07/07/2016	01/08/2016	
2016	Agosto	104	D	11015	C-224/16	14/09/2015	04/05/2016	04/08/2016	
2016	Agosto	105	D	11155	C-390/16	23/11/2015	27/07/2016	09/08/2016	
2016	Agosto	106	D	10948	C-257/16	12/08/2015	18/05/2016	10/08/2016	
2016	Agosto	107	PE	45	C-379/16	18/12/2015	18/07/2016	16/08/2016	
2016	Agosto	108	D	10959	C-326/16	19/08/2015	22/06/2016	18/08/2016	
2016	Agosto	109	D	11062	C-335/16	02/10/2015	29/06/2016	18/08/2016	
2016	Agosto	110	D	11129	C-422/16	09/11/2015	10/08/2016	23/08/2016	
2016	Agosto	111	D	11172	C-389/16	27/11/2015	27/07/2016	24/08/2016	
2016	Agosto	112	D	11204	C-403/16	12/01/2016	03/08/2016	24/08/2016	
2016	Agosto	113	D	11196	C-404/16	18/12/2015	03/08/2016	25/08/2016	
2016	Agosto	114	D	11203	C-405/16	12/01/2016	03/08/2016	25/08/2016	
2016	Septiembre	115	D	10958	C-221/16	18/08/2015	04/05/2016	01/09/2016	
2016	Septiembre	116	D	10918	C-230/16	27/07/2015	11/05/2016	01/09/2016	
2016	Septiembre	117	D	11025	C-225/16	15/09/2015	04/05/2016	02/09/2016	
2016	Septiembre	118	D	10990	C-285/16	08/09/2015	01/06/2016	07/09/2016	
2016	Septiembre	119	D	11061	C-360/16	01/10/2015	07/07/2016	08/09/2016	
2016	Septiembre	120	D	10941	C-359/16	06/08/2015	07/07/2016	09/09/2016	
2016	Septiembre	121	D	11205	C-452/16	13/01/2016	24/08/2016	09/09/2016	
2016	Septiembre	122	D	11218	C-441/16	21/01/2016	17/08/2016	09/09/2016	
2016	Septiembre	123	D	11236	C-471/16	05/02/2016	31/08/2016	09/09/2016	
2016	Septiembre	123	D	11241	C-471/16	10/02/2016	31/08/2016	09/09/2016	19/02/2016
2016	Septiembre	124	D	11167	C-440/16	26/11/2015	17/08/2016	12/09/2016	
2016	Septiembre	125	D	11256	C-473/16	17/02/2016	31/08/2016	13/09/2016	
2016	Septiembre	126	D	11283	C-474/16	08/03/2016	31/08/2016	13/09/2016	
2016	Septiembre	127	D	11267	C-472/16	26/02/2016	31/08/2016	19/09/2016	
2016	Septiembre	128	D	11217	C-451/16	20/01/2016	24/08/2016	21/09/2016	
2016	Septiembre	129	D	11207	C-468/16	13/01/2016	31/08/2016	21/09/2016	
2016	Septiembre	130	D	11201	C-495/16	18/12/2015	14/09/2016	23/09/2016	
2016	Septiembre	131	D	11249	C-491/16	12/02/2016	14/09/2016	26/09/2016	
2016	Octubre	132	D	11231	C-493/16	01/02/2016	14/09/2016	07/10/2016	
2016	Octubre	133	D	11357	C-540/16	04/04/2016	05/10/2016	07/10/2016	
2016	Octubre	134	D	11244	C-486/16	10/02/2016	07/09/2016	10/10/2016	
2016	Octubre	135	D	11293	C-539/16	11/03/2016	05/10/2016	10/10/2016	
2016	Octubre	136	D	11287	C-538/16	09/03/2016	05/10/2016	10/10/2016	
2016	Octubre	137	D	11158	C-372/16	24/11/2015	13/07/2016	11/10/2016	
2016	Octubre	138	D	11208	C-423/16	13/01/2016	10/08/2016	12/10/2016	
